质量_A
t	x	y	v	v_{y}	v_{x}
7.466666667E0	5.042143642E-2	-3.340728142E-3	7.862860719E-2	-1.478970919E-2	7.722514079E-2
7.500000000E0	5.039044373E-2	-3.344497271E-3	3.972046888E-2	-1.671820644E-2	-3.603078158E-2
7.533333333E0	4.801938432E-2	-4.455275238E-3	5.880644421E-2	2.919598841E-2	-5.104696016E-2
7.566666667E0	4.698731305E-2	-1.398098043E-3	4.894983848E-2	4.628219548E-2	-1.593879131E-2
7.600000000E0	4.695679823E-2	-1.369795539E-3	1.617236337E-1	-1.268883522E-1	-1.002690369E-1
7.633333333E0	4.030271059E-2	-9.857321524E-3	1.525279280E-1	4.447695823E-2	1.458991742E-1
7.666666667E0	5.668340984E-2	1.595335009E-3	4.466253200E-1	2.960559943E-1	3.344024891E-1
7.700000000E0	6.259620986E-2	9.879744760E-3	3.876327359E-1	3.709794748E-1	1.123982526E-1
7.733333333E0	6.417662668E-2	2.632730000E-2	5.950972179E-1	5.949554859E-1	-1.298724448E-2
7.766666667E0	6.173039356E-2	4.954344382E-2	2.956861929E-1	2.619990084E-1	-1.370651096E-1
7.800000000E0	5.503895271E-2	4.379390056E-2	2.063738773E-1	3.520385936E-2	-2.033491222E-1
7.833333333E0	4.817378542E-2	5.189036778E-2	3.002950248E-1	1.635862893E-1	-2.518265829E-1
7.866666667E0	3.825051385E-2	5.469965318E-2	4.492735611E-1	-1.676856714E-1	-4.168072077E-1
7.900000000E0	2.038663824E-2	4.071132302E-2	4.990996665E-1	-3.390857148E-1	-3.662258253E-1
7.933333333E0	1.383545882E-2	3.209393886E-2	4.452362378E-1	-4.430796461E-1	4.376910652E-2
7.966666667E0	2.330457867E-2	1.117267994E-2	3.098370248E-1	-2.951182512E-1	9.436206733E-2
8.000000000E0	2.012626331E-2	1.241938878E-2	2.347448967E-1	-2.346992671E-1	4.628233184E-3
8.033333333E0	2.361312755E-2	-4.473937865E-3	5.437109613E-1	-4.258888262E-1	3.379945520E-1
8.066666667E0	4.265923344E-2	-1.597319964E-2			
8.100000000E0		-1.541201050E-2		-5.554676929E-1	
8.133333333E0	5.311925645E-2	-5.300437916E-2			
8.166666667E0	5.591246118E-2	-6.124797311E-2	8.917669651E-2	-4.407070157E-2	7.752584384E-2
